level,1 bonk,2 bonk,3 bonk,4 bonk,5 bonk,6 bonk,7 bonk,8 bonk,9 bonk,10 bonk
141,5,5,5,5,5,5,10,20,20,20
142,5,5,5,5,5,10,10,20,20,15
143,5,5,5,5,5,10,20,15,15,15
144,5,5,5,5,5,20,10,15,15,15
145,5,5,5,10,10,10,10,15,15,15
146,5,5,5,10,10,10,15,15,15,10
147,5,5,5,10,10,15,15,15,10,10
148,5,5,5,10,15,15,15,10,10,10
149,5,5,10,10,15,10,15,10,10,10
150,5,5,10,15,10,15,10,10,10,10
151,5,5,10,10,15,20,10,10,10,5
152,5,5,10,10,20,15,15,10,5,5
153,5,5,10,15,15,20,10,10,5,5
154,5,5,10,20,20,10,10,10,5,5
155,5,10,10,20,15,10,10,10,5,5
156,10,10,10,15,15,10,10,10,5,5
157,10,10,15,15,10,10,10,10,5,5
158,10,15,15,10,10,10,10,10,5,5
159,15,20,5,10,10,10,10,10,5,5
160,15,10,15,15,10,10,10,5,5,5
161,15,15,15,10,10,10,10,5,5,5
162,20,15,10,10,10,10,10,5,5,5
163,15,20,15,10,10,10,5,5,5,5
164,20,20,10,10,10,10,5,5,5,5
165,20,20,15,10,10,5,5,5,5,5
166,20,15,15,15,10,10,5,5,5,0
167,20,20,15,10,10,10,5,5,5,0
168,20,25,10,10,10,10,5,5,5,0
169,25,20,10,10,10,10,5,5,5,0
170,25,20,15,10,10,5,5,5,5,0
171,25,20,10,15,10,10,5,5,0,0
172,25,20,15,15,10,5,5,5,0,0
173,25,25,15,10,10,5,5,5,0,0
174,25,30,10,10,10,5,5,5,0,0
175,30,20,20,10,5,5,5,5,0,0
176,25,20,25,10,10,5,5,0,0,0
177,30,20,20,10,10,5,5,0,0,0
178,30,25,15,10,10,5,5,0,0,0
179,30,25,20,10,5,5,5,0,0,0
180,35,25,20,5,5,5,5,0,0,0
181,35,30,15,10,5,5,0,0,0,0
182,35,35,15,5,5,5,0,0,0,0
183,40,35,10,5,5,5,0,0,0,0
184,50,25,10,5,5,5,0,0,0,0
185,55,25,5,5,5,5,0,0,0,0
186,50,30,10,5,5,0,0,0,0,0
187,50,35,5,5,5,0,0,0,0,0
188,60,25,5,5,5,0,0,0,0,0
189,60,25,10,5,0,0,0,0,0,0
190,55,35,10,0,0,0,0,0,0,0
191,60,35,5,0,0,0,0,0,0,0
192,65,30,5,0,0,0,0,0,0,0
193,65,35,0,0,0,0,0,0,0,0
194,75,25,0,0,0,0,0,0,0,0
195,80,20,0,0,0,0,0,0,0,0
196,85,15,0,0,0,0,0,0,0,0
197,90,10,0,0,0,0,0,0,0,0
198,95,5,0,0,0,0,0,0,0,0
199,100,0,0,0,0,0,0,0,0,0
