Time,hero,shadower,adele,ark
1,4.715367635492454E10,4.523894135494676E10,2.4483709540053925E10,2.464442233248558E10
2,9.757083384791676E10,5.161398139595624E10,5.168783125122496E10,3.390673792510643E10
3,1.3332101010168532E11,9.6852922750903E10,8.24765764127365E10,6.952657183470224E10
4,1.772207507499405E11,1.4209186410584976E11,9.958143483579846E10,1.2368317498889764E11
5,1.8679948865779495E11,1.4846690414685922E11,1.1776553979424712E11,1.4832759732138324E11
6,2.762248862746111E11,1.486306457710167E11,1.541337497111444E11,1.575899129140041E11
7,3.4220367253418475E11,2.0584376463397528E11,1.7231785466959308E11,1.717815623159085E11
8,3.930538805739322E11,2.458929478380463E11,1.9050195962804175E11,1.855012120878201E11
9,4.041491810968972E11,2.4605668946220377E11,2.0868606458649042E11,1.9982398640335202E11
10,4.042027062329648E11,3.0326980832516235E11,2.290626544140111E11,2.246961129059613E11
11,4.185358075085956E11,3.4331899152923334E11,2.494392442415318E11,2.3404400842644522E11
12,4.300504071792308E11,4.005321103921919E11,2.821706331667394E11,2.6674700020638498E11
13,4.452796476947654E11,4.405812935962629E11,3.0035473812518805E11,2.78325358733097E11
14,4.5751416724862805E11,4.9779441245922144E11,3.185388430836367E11,3.0319748523570624E11
15,4.7364513478555743E11,5.378435956632924E11,3.389154329111574E11,3.125453807561902E11
16,4.8660406320696985E11,5.95056714526251E11,3.8983092679481366E11,3.4849432705523065E11
17,5.036423537428576E11,6.35105897730322E11,4.407464206784699E11,3.733664535578399E11
18,5.173301866005156E11,6.803448390852688E11,5.1861716145048376E11,3.8271434907832385E11
19,5.350872843813925E11,6.867198791262783E11,5.3680126640893243E11,4.01270389079183E11
20,5.4935257619278546E11,7.439329979892369E11,5.549853713673811E11,4.376376998815371E11
21,5.671096739736624E11,7.83982181193308E11,5.732488333609366E11,4.646269995447854E11
22,5.813749657850553E11,8.411953000562666E11,5.936254231884573E11,4.666198311360732E11
23,5.991320635659321E11,8.812444832603376E11,6.14002013015978E11,4.6861266272736096E11
24,6.133973553773251E11,9.384576021232963E11,6.649175068996343E11,4.7893663749889355E11
25,6.311544531582019E11,9.785067853273673E11,7.158330007832905E11,4.8092946909018134E11
26,6.454197449695948E11,1.0357199041903259E12,8.309309425096127E11,4.829223006814691E11
27,6.631768427504717E11,1.075769087394397E12,8.513091672785524E11,4.849151322727569E11
28,6.774421345618646E11,1.1329822062573555E12,8.716873920474921E11,4.869079638640447E11
29,6.951992323427415E11,1.1730313894614265E12,9.124489070198384E11,5.193256422312957E11
30,7.094645241541344E11,1.230244508324385E12,9.351877686779655E11,5.213184738225835E11
31,7.272216219350112E11,1.270293691528456E12,9.922467980309966E11,5.537361521898346E11
32,7.414869137464042E11,1.3155326328834028E12,1.0493058273840277E12,5.557289837811224E11
33,7.59244011527281E11,1.3156963745075603E12,1.2070361167384656E12,5.881466621483735E11
34,7.73509303338674E11,1.3729094933705188E12,1.2282989415933599E12,5.901394937396614E11
35,8.179020477908662E11,1.4129586765745898E12,1.2495617664482542E12,6.225571721069125E11
36,8.321673396022592E11,1.4701717954375483E12,1.2708245913031484E12,6.245500036982003E11
37,8.765600840544514E11,1.5102209786416194E12,1.294463122678425E12,6.569676820654514E11
38,8.908253758658444E11,1.567434097504578E12,1.3181016540537017E12,6.589605136567393E11
39,9.352181203180366E11,1.607483280708649E12,1.3776375636474053E12,6.913781920239904E11
40,9.494834121294296E11,1.6138583207496584E12,1.437173473241109E12,6.933710236152782E11
41,9.938761565816218E11,1.671071439612617E12,1.5137506415481777E12,7.257887019825293E11
42,1.0081414483930148E12,1.711120622816688E12,1.535013466403072E12,7.277815335738171E11
43,1.052534192845207E12,1.8009332269772441E12,1.5586519977783486E12,7.601992119410682E11
44,1.0667994846566E12,1.846172168332191E12,1.6181879073720522E12,7.621920435323561E11
45,1.306520304698438E12,1.8463359099563484E12,1.6564609921108618E12,7.946097218996072E11
46,1.3718987101643938E12,1.9053235568510786E12,1.9436253732623696E12,8.270274002668583E11
47,1.4207982534285054E12,1.9466149096773896E12,2.2938258380812812E12,8.594450786341094E11
48,1.4861766588944612E12,1.9918538510323364E12,2.3150886629361753E12,8.918627570013605E11
49,1.5004419507058542E12,1.998228891073346E12,2.3363514877910693E12,9.242804353686116E11
50,1.516741798460558E12,2.0832294249534722E12,2.3599900191663457E12,9.566981137358627E11
51,1.6445929024828716E12,2.1603681366481873E12,2.4195259287600493E12,9.891157921031138E11
52,1.6934924457469832E12,2.214365234834488E12,2.479061838353753E12,1.0215334704703649E12
53,1.6935460937802317E12,2.2596041761894346E12,2.500324663208647E12,1.053951148837616E12
54,1.7078113855916248E12,2.265979216230444E12,2.521587488063541E12,1.0863688272048671E12
55,1.7241112333463286E12,2.2661429578546016E12,2.5452260194388174E12,1.1187865055721182E12
56,1.851962337368642E12,2.483552809533844E12,2.5688645508140938E12,1.1512041839393691E12
57,1.9008618806327537E12,2.635739705709314E12,2.6284004604077974E12,1.18362186230662E12
58,1.9662402860987095E12,2.6809786470642607E12,2.687936370001501E12,1.216039540673871E12
59,1.9805055779101025E12,2.7399662939589907E12,2.783619081848525E12,1.248457219041122E12
60,1.9968054256648064E12,2.781257646785302E12,2.7531940754521943E12,1.2562304750758875E12
61,2.1246565296871199E12,2.8264965881402485E12,2.795719725161983E12,1.2437660039409219E12
62,2.1735560729512314E12,2.832871628181258E12,2.816982550016877E12,1.2761836823081729E12
63,2.1878213647626245E12,2.8330353698054155E12,2.8406210813921533E12,1.3086013606754238E12
64,2.2041212125173286E12,2.8976357755543115E12,2.8642596127674297E12,1.262218013555994E12
65,2.331972316539642E12,2.9747744872490264E12,2.9237955223611333E12,1.2711817269287195E12
66,2.380871859803754E12,3.0287715854353267E12,2.983331431954837E12,1.3035994052959705E12
67,2.3809255078370024E12,3.0877592323300566E12,3.004594256809731E12,1.3360170836632214E12
68,2.446303913302958E12,3.1290505851563677E12,3.025857081664625E12,1.3155202114404194E12
69,2.496023787089413E12,3.1742895265113145E12,3.047119906519519E12,1.3058870025072468E12
70,2.510289078900806E12,3.1806645665523237E12,3.068382731374413E12,1.336479361146612E12
71,2.5265889266555103E12,3.1992923659337725E12,3.089645556229307E12,1.330621234756656E12
72,2.6331315133407715E12,3.217920165315221E12,3.1887960628311616E12,1.3159167515764968E12
73,2.760982617363085E12,3.218083906939379E12,3.2100588876860557E12,1.346509110215862E12
74,2.809882160627197E12,3.2588841632018394E12,3.2313217125409497E12,1.3771014688552273E12
75,2.8752605660931523E12,3.336022874896554E12,3.254960243916226E12,1.3828217009919832E12
76,2.9249804398796074E12,3.3900199730828545E12,3.3144961535099297E12,1.3855101241100054E12
77,2.9392457316910005E12,3.4352589144378013E12,3.3740320631036333E12,1.4161024827493706E12
78,2.9555455794457046E12,3.4942465613325312E12,3.3952948879585273E12,1.4466948413887358E12
79,3.083396683468018E12,3.5355379141588423E12,3.4165577128134214E12,1.4139305895624988E12
80,3.13229622673213E12,4.0344968261619316E12,3.4378205376683154E12,2.5009458626255415E12
81,3.182016100518585E12,4.075297082424392E12,3.4590833625232095E12,2.402598570797073E12
82,3.196281392329978E12,4.152435794119107E12,3.6341835949326655E12,2.391236165948387E12
83,3.212581240084682E12,4.206432892305407E12,3.6681280642737656E12,2.4054991239775347E12
84,3.3404323441069956E12,4.2128079323464165E12,3.6893908891286597E12,2.419762082006682E12
85,3.3893318873711074E12,4.231435731727865E12,3.7106537139835537E12,2.4340250400358296E12
86,3.389385535404356E12,4.231599473352023E12,3.7319165388384478E12,2.448287998064977E12
87,3.4547639408703115E12,4.290587120246753E12,3.753179363693342E12,2.4625509560941245E12
88,3.5044838146567666E12,4.331878473073064E12,3.774442188548236E12,2.476813914123272E12
89,3.5187491064681597E12,4.338253513114073E12,3.838003572912868E12,2.4910768721524194E12
90,3.535048954222864E12,4.356881312495522E12,3.8616421042881445E12,2.505339830181567E12
91,3.6629000582451772E12,4.3570450541196797E12,3.885280635663421E12,2.588313008577036E12
92,3.711799601509289E12,4.39784531038214E12,3.9089191670386973E12,2.6025759666061836E12
93,3.726064893320682E12,4.474984022076855E12,3.968455076632401E12,2.616838924635331E12
94,3.742364741075386E12,4.528981120263156E12,4.0279909862261045E12,2.6311018826644785E12
95,3.8702158450976997E12,4.5476089196446045E12,4.087526895819808E12,2.645364840693626E12
96,3.9191153883618115E12,4.547772661268762E12,4.1449365229280225E12,2.707009211442565E12
97,3.984493793827767E12,4.606760308163492E12,4.202346150036237E12,2.642589986603081E12
98,4.034213667614222E12,4.648051660989804E12,4.259755777144451E12,2.598471180694042E12
99,4.048478959425615E12,4.654426701030813E12,4.2980288618832607E12,2.619187731519505E12
100,4.0647788071803193E12,4.695226957293274E12,4.397179368485115E12,2.6644609742990537E12
101,4.192629911202633E12,4.772365668987989E12,4.431123837826215E12,2.64630625396095E12
102,4.2415294544667446E12,4.82636276717429E12,4.465068307167314E12,2.6605692119900977E12
103,4.259754183577776E12,4.781123825819344E12,4.438437528437636E12,2.674832170019245E12
104,4.274019475389169E12,4.781287567443501E12,4.45970035329253E12,2.6890951280483926E12
105,4.290319323143873E12,4.840275214338231E12,4.480963178147425E12,3.015759764845024E12
106,4.418170427166187E12,4.881566567164543E12,4.500808481345326E12,2.971640958935985E12
107,4.467069970430298E12,4.922366823427004E12,4.564369865709959E12,2.9859039169651323E12
108,4.467123618463546E12,4.999505535121719E12,4.627931250074592E12,3.00016687499428E12
109,4.481388910274938E12,5.05350263330802E12,4.651569781449868E12,3.0144298330234272E12
110,4.497688758029643E12,4.670910361148722E12,4.675208312825145E12,3.0286927910525747E12
111,4.625539862051956E12,4.671074102772879E12,4.698846844200421E12,3.0739660338321235E12
112,4.674439405316067E12,4.730061749667609E12,4.758382753794125E12,3.05581131349402E12
113,4.653650477035263E12,4.771353102493921E12,4.817918663387829E12,3.0700742715231675E12
114,4.667915768846655E12,4.174324581742178E12,4.877454572981533E12,3.084337229552315E12
115,4.684215616601359E12,4.247559512480683E12,4.936990482575237E12,3.0986001875814624E12
116,4.812066720623673E12,4.298823963997636E12,4.994400109683451E12,3.0544813816724233E12
117,4.860966263887784E12,3.8703344591639136E12,5.051809736791665E12,3.0686498830258813E12
118,4.666348893266678E12,3.8704982007880713E12,5.109219363899879E12,3.0569487554840933E12
119,4.682648741021382E12,3.9265006428804365E12,5.166628991008093E12,3.0712117135132407E12
120,4.789191327706644E12,3.9657023523450923E12,5.224038618116307E12,3.085474671542388E12
121,4.917042431728957E12,3.7030483930141685E12,5.257983087457406E12,3.0997376295715356E12
122,4.965941974993068E12,3.756897606792481E12,5.279245912312301E12,3.114000587600683E12
123,4.9040501144636045E12,3.7945920564373E12,5.300508737167195E12,3.128169088954141E12
124,4.969428519929561E12,3.6532944813941387E12,5.320354040365097E12,3.1100143686160376E12
125,4.983693811740953E12,3.6534582230182964E12,5.343992571740373E12,3.124277326645185E12
126,4.999993659495657E12,3.6946364892626826E12,5.367631103115649E12,3.1385402846743325E12
127,5.127844763517971E12,3.723461275633753E12,5.427167012709354E12,3.15280324270348E12
128,5.176744306782082E12,3.4837692394813555E12,5.486702922303058E12,3.166971744056938E12
129,4.335672237223917E12,3.537618453259668E12,5.524976007041867E12,3.1812347020860854E12
130,4.3490474317925024E12,3.575312902904487E12,5.545783751326524E12,3.195497660115233E12
131,4.3643576773494707E12,3.158322539686645E12,5.579728220667624E12,3.2097606181443804E12
132,4.484231383034285E12,3.1584862813108027E12,5.600991045522519E12,3.224023576173528E12
133,4.530162119705189E12,3.199664547555189E12,5.622253870377413E12,3.238192077526986E12
134,4.429259365543708E12,3.2284893339262593E12,5.642099173575314E12,3.2264909499851978E12
135,4.444569611100676E12,3.087355500507256E12,5.705660557939947E12,3.240753908014345E12
136,4.56444331678549E12,3.100165816579882E12,5.729299089315224E12,3.2550168660434927E12
137,4.610374053456395E12,3.128224105584582E12,5.788834998908928E12,3.26927982407264E12
138,4.337733509171165E12,3.1820733193628945E12,5.848370908502632E12,3.2835427821017876E12
139,4.399032563214536E12,3.2197677690077134E12,5.882315377843731E12,3.2977112834552456E12
140,4.412407757783122E12,3.2325780850803394E12,5.812657677906384E12,3.279556563117142E12
141,4.42771800334009E12,3.232741826704497E12,5.833920502761278E12,3.2938195211462896E12
142,4.547591709024904E12,3.2739200929488833E12,5.85376580595918E12,3.308082479175437E12
143,4.593522445695809E12,3.3027448793199536E12,5.877404337334456E12,3.3223454372045845E12
144,4.4327705630208E12,2.959336048605872E12,5.901042868709732E12,3.3365139385580425E12
145,4.446145757589386E12,2.9873943376105723E12,5.960578778303437E12,3.3248128110162544E12
146,4.461456003146354E12,3.041243551388885E12,5.994523247644536E12,3.339075769045402E12
147,4.581329708831168E12,3.0789380010337036E12,5.924117398960733E12,3.3533387270745493E12
148,4.627260445502072E12,3.0917483171063296E12,5.966643048670521E12,3.367601685103697E12
149,4.415865307226966E12,3.0919120587304873E12,5.987905873525416E12,3.381864643132844E12
150,4.429240501795552E12,3.1330903249748735E12,6.007751176723317E12,3.3960331444863022E12
151,4.44455074735252E12,3.161915111345944E12,6.092499689209494E12,3.3778784241481987E12
152,4.564424453037334E12,2.7598118900004536E12,6.1161382205847705E12,3.392141382177346E12
153,4.610355189708238E12,2.7726222060730796E12,6.175674130178475E12,3.4064043402064937E12
154,4.464338456899088E12,2.7727859476972373E12,6.235210039772179E12,3.420667298235641E12
155,4.51095600910985E12,2.8008442367019375E12,6.269154509113278E12,3.434835799589099E12
156,4.524331203678436E12,2.85469345048025E12,6.18241867953962E12,3.4166810792509956E12
157,4.539641449235403E12,2.892387900125069E12,6.202451965563275E12,3.430944037280143E12
158,4.659515154920218E12,2.4346072543663657E12,6.287564696107561E12,3.4452069953092905E12
159,4.705445891591122E12,2.463432040737436E12,5.995284201072088E12,3.459469953338438E12
160,4.2764892388009277E12,2.170434501483288E12,6.015317487095743E12,3.473638454691896E12
161,4.323106791011689E12,2.183244817555914E12,6.035350773119398E12,3.461937327150108E12
162,4.3364819855802744E12,2.1834085591800715E12,6.055384059143054E12,3.4849854322599604E12
163,4.3517922311372427E12,2.211466848184772E12,6.135231925186313E12,3.499248390289108E12
164,4.471665936822058E12,2.2653160619630845E12,6.191325126052548E12,3.5135113483182554E12
165,4.517596673492962E12,2.3030105116079033E12,6.247418326918782E12,3.527774306347403E12
166,4.2564816614313994E12,2.452523014952099E12,6.303511527785017E12,3.5420372643765503E12
167,4.3030992136421606E12,2.557181767293036E12,6.359604728651251E12,3.5563002224056978E12
168,4.316474408210746E12,2.2453926870332817E12,6.39566464349383E12,3.570563180434845E12
169,4.3317846537677144E12,2.2455564286574395E12,6.489081697516549E12,3.5848261384639927E12
170,4.43167940850506E12,2.2867346949018257E12,6.133009809311352E12,3.59908909649314E12
171,4.551553114189874E12,2.315559481272896E12,6.153043095335007E12,3.613257597846598E12
172,4.597483850860778E12,2.1816739993458525E12,6.232890961378267E12,3.6275205558757456E12
173,4.3870657424325625E12,2.235523213124165E12,6.288984162244501E12,3.641783513904893E12
174,4.400440937001148E12,2.273217662768984E12,6.345077363110735E12,3.6560464719340405E12
175,4.415751182558116E12,2.1707839890397603E12,6.377108150266481E12,3.670309429963188E12
176,4.535624888242931E12,2.1709477306639177E12,5.346411629789898E12,3.684477931316646E12
177,4.581555624913835E12,2.2121259969083037E12,5.366016150619391E12,3.672776803774858E12
178,4.2591415588089023E12,2.240950783279374E12,5.398046937775137E12,3.6870397618040054E12
179,4.3204406128522734E12,2.0733988247928823E12,5.477894803818396E12,3.701302719833153E12
180,4.333815807420859E12,2.1014571137975825E12,5.533988004684631E12,3.7155656778623003E12
181,4.349126052977827E12,2.1553063275758948E12,5.590081205550865E12,3.7298286358914478E12
182,4.468999758662642E12,2.1930007772207134E12,5.622111992706611E12,3.743997137244906E12
183,4.514930495333546E12,2.0863467374586626E12,5.516723858477397E12,3.7258424169068022E12
184,4.368913762524395E12,2.1275250037030488E12,5.572817059343632E12,3.7401053749359497E12
185,4.3822889570929805E12,2.1563497900741191E12,5.628910260209866E12,3.754368332965097E12
186,4.3975992026499487E12,1.9980752424292532E12,5.660941047365612E12,3.7686312909942446E12
187,4.517472908334764E12,2.0261335314339534E12,5.412477004737073E12,3.7827997923477026E12
188,4.563403645005668E12,2.0799827452122656E12,5.468570205603308E12,3.764645072009599E12
189,4.2543647734693203E12,2.1176771948570842E12,5.504630120445887E12,3.7789080300387466E12
190,4.2696750190262886E12,2.0165106568865645E12,5.54383916210487E12,3.793170988067894E12
191,4.3895487247111035E12,2.0576889231309507E12,5.575869949260616E12,3.8074339460970415E12
192,4.435479461382008E12,2.086513709502021E12,5.198853003070011E12,3.8216024474504995E12
