Time,shadower,hero,adele,ark,bishop,archmage_fp
1,4.523894135494676E10,4.715367635492454E10,2.4483709540053925E10,2.464442233248558E10,1.1306071961332388E11,1.1471840907304106E10
2,5.161398139595624E10,9.757083384791676E10,5.168783125122496E10,3.390673792510643E10,1.5263197147798724E11,1.8470212752669052E10
3,9.6852922750903E10,1.3332101010168532E11,8.24765764127365E10,6.952657183470224E10,1.7901280605442947E11,3.7229362942100975E10
4,1.4209186410584976E11,1.772207507499405E11,9.958143483579846E10,1.2368317498889764E11,2.053936406308717E11,4.422773478746592E10
5,1.4846690414685922E11,1.8679948865779495E11,1.1776553979424712E11,1.4832759732138324E11,2.845361443601984E11,7.35390814046235E10
6,1.486306457710167E11,2.762248862746111E11,1.541337497111444E11,1.575899129140041E11,3.5497662902208105E11,1.028504280217811E11
7,2.0584376463397528E11,3.4220367253418475E11,1.7231785466959308E11,1.717815623159085E11,3.894708400418144E11,1.0289521371950307E11
8,2.458929478380463E11,3.930538805739322E11,1.9050195962804175E11,1.855012120878201E11,4.239650510615477E11,1.0989358556486801E11
9,2.4605668946220377E11,4.041491810968972E11,2.0868606458649042E11,1.9982398640335202E11,4.5845926208128107E11,1.1689195741023296E11
10,3.0326980832516235E11,4.042027062329648E11,2.290626544140111E11,2.246961129059613E11,4.929534731010144E11,1.238903292555979E11
11,3.4331899152923334E11,4.185358075085956E11,2.494392442415318E11,2.3404400842644522E11,5.2744768412074774E11,1.3088870110096284E11
12,4.005321103921919E11,4.300504071792308E11,2.821706331667394E11,2.6674700020638498E11,5.619418951404811E11,1.378870729463278E11
13,4.405812935962629E11,4.452796476947654E11,3.0035473812518805E11,2.78325358733097E11,5.964361061602144E11,1.4488544479169275E11
14,4.9779441245922144E11,4.5751416724862805E11,3.185388430836367E11,3.0319748523570624E11,6.309303171799478E11,1.518838166370577E11
15,5.378435956632924E11,4.7364513478555743E11,3.389154329111574E11,3.125453807561902E11,6.654245281996812E11,1.5888218848242267E11
16,5.95056714526251E11,4.8660406320696985E11,3.8983092679481366E11,3.4849432705523065E11,6.999187392194146E11,1.6588056032778763E11
17,6.35105897730322E11,5.036423537428576E11,4.407464206784699E11,3.733664535578399E11,8.18184605572786E11,1.728789321731526E11
18,6.803448390852688E11,5.173301866005156E11,5.1861716145048376E11,3.8271434907832385E11,8.69925922102386E11,1.7987730401851755E11
19,6.867198791262783E11,5.350872843813925E11,5.3680126640893243E11,4.01270389079183E11,9.044201331221194E11,1.868756758638825E11
20,7.439329979892369E11,5.4935257619278546E11,5.549853713673811E11,4.376376998815371E11,9.389143441418528E11,1.9387404770924747E11
21,7.83982181193308E11,5.671096739736624E11,5.732488333609366E11,4.646269995447854E11,9.734085551615862E11,2.0087241955461243E11
22,8.411953000562666E11,5.813749657850553E11,5.936254231884573E11,4.666198311360732E11,1.0079027661813196E12,2.078707913999774E11
23,8.812444832603376E11,5.991320635659321E11,6.14002013015978E11,4.6861266272736096E11,1.042396977201053E12,2.1486916324534235E11
24,9.384576021232963E11,6.133973553773251E11,6.649175068996343E11,4.7893663749889355E11,1.0768911882207864E12,2.218675350907073E11
